Package.ID,Brand,Product,Batch,Strain,Distribution.Chain,Date.of.Harvest,Date.of.Manufacture,Cultivated.By,Laboratory.Testing.Results,Point.of.Intended.Sale,Extraction.Method
57480,iLAVA,Lava Rocks 3.5g - Guava Cross,240328-003,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/21/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57336,ZENZONA,zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid,231107-002,Hybrid,"Forever 46, LLC - 00000057DCHF00477864",9/5/2023,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/9fadd3bf-b7db-4396-8588-d5e13bdfca99,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57317,iLAVA,iLAVA Lava Rocks - Sunset Sherb,240328-005,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",2/13/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/755ec2dd-cc27-47ba-9a52-61702d38f830,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57315,iLAVA,iLAVA Lava Rocks - Sunset Sherb,240328-005,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",2/13/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/755ec2dd-cc27-47ba-9a52-61702d38f830,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57314,iLAVA,iLAVA Lava Rocks - Jet Cream,240328-004,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/8a7fe3ca-a622-478a-bda9-16a90aad6bae,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57312,iLAVA,iLAVA Lava Rocks - Jet Cream,240328-004,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/8a7fe3ca-a622-478a-bda9-16a90aad6bae,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57311,iLAVA,iLAVA Lava Rocks - Guava Cross,240328-003,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57310,iLAVA,iLAVA Lava Rocks - Guava Cross,240328-003,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57308,iLAVA,iLAVA Lava Rocks - Dweebz,240328-001,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/77e28007-14f4-437c-a08e-52b3441609de,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57307,iLAVA,iLAVA Lava Rocks - Dweebz,240328-001,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/77e28007-14f4-437c-a08e-52b3441609de,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57266,ZENZONA,zenzona Pineapple 100mg Live Rosin - Hybrid,240319-002-PI,RS #11 X JC,"Forever 46, LLC - 00000057DCHF00477864",12/29/2022,3/25/2024,"Greenmed, Inc. - 00000113ESLZ23317951",https://orders.confidentcannabis.com/report/public/pdf/39a73e0f-1d9b-42f8-9420-dee22e45feed,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57265,ZENZONA,zenzona Green Apple 100mg Live Rosin - Indica,240319-003-GA,Fried Ice Cream,"Forever 46, LLC - 00000057DCHF00477864",2/27/2023,3/25/2024,"Greenmed, Inc. - 00000113ESLZ23317951",https://orders.confidentcannabis.com/report/public/pdf/900aa0e5-c21c-4282-abe6-457ed6ab94cc,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57259,ZENZONA,zenzona Mango Chamoy 100mg Live Rosin - Hybrid,240319-001-MC,WAP #27,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,3/25/2024,"Greenmed, Inc. - 00000113ESLZ23317951",https://orders.confidentcannabis.com/report/public/pdf/316218a8-7adc-4569-bf94-a1ea2d9f1c0a,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57170,ZENZONA,zenzona Vegan Gummies Pineberry 100mg RSO - Indica,230607-001RSO-PINE,Indica,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,2/21/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/cf0c84a3-5467-43ab-9241-cd7804522079,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57169,ZENZONA,zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,230811-001-ITZ,Sativa,"Forever 46, LLC - 00000057DCHF00477864",6/21/2023,3/18/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/adebc888-b4c5-4f46-aab4-8bd376fdc35c,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
