"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"1","57334","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","230606-001-BBC","Hybrid","Forever 46, LLC - 00000057DCHF00477864","04/19/2023","07/04/2024","Forever 46, LLC - 00000057DCHF00477864","https://tinyurl.com/yn249mxn","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2","57348","DTF - Downtown Flower","Mendo Dosi 14g Smalls - Mid","323s-240117.0001-W3","Mendo Dosi","Forever 46, LLC - 00000057DCHF00477864","01/17/2024","03/29/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/bbab91ad-0272-4238-a234-2c2a8acb66be","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"3","57302","DTF - Downtown Flower","Kosher Kush 3.5g","235-240213.0001-W7","Kosher Kush","Forever 46, LLC - 00000057DCHF00477864","02/13/2024","03/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/41bb8a1e-51a7-456f-80a6-0bc3f22876cf","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"4","57296","GRÄS Cannabis","Fresh Fritter 3.5g","FrFr-240117.0001-W3","Fresh Fritter","Forever 46, LLC - 00000057DCHF00477864","01/17/2024","03/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/9cb81f6f-b8c6-407e-b64e-c0a123626a50","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"5","57294","GRÄS Cannabis","Sunset Sherb 3.5g","SSherb-240130.0001-W5","Sunset Sherb","Forever 46, LLC - 00000057DCHF00477864","01/30/2024","03/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/75dfb46c-6a63-4a1f-86c7-5015b3fd907e","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"6","57283","GRÄS Cannabis","Forest Fire 3.5g","FoFi-240130.0001-W5","Forest Fire","Forever 46, LLC - 00000057DCHF00477864","01/30/2024","03/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/38229bbb-1a83-4705-8643-c54cb52ed3d0","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"7","57194","DTF - Downtown Flower","Mellow Squirt 14g Smalls - Signature","MSQ-240117.0001-W3","Mellow Squirt","Forever 46, LLC - 00000057DCHF00477864","01/17/2024","03/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/ef4e1d03-3dc5-4d6b-8dcb-1c94326a3f9d","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"8","57190","DTF - Downtown Flower","Fatso 14g Smalls - Signature","224-231214.0001-W50","Fatso","Forever 46, LLC - 00000057DCHF00477864","12/14/2023","03/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/a2ca650e-8a02-4a17-86ef-5701ec6eb711","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"9","57173","DTF - Downtown Flower","Jet Cream 14g Smalls - Mid","JtCr-240130.0001-W5","Jet Cream","Forever 46, LLC - 00000057DCHF00477864","01/30/2024","03/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/3229cdfd-9b44-4eda-ad77-9adcd0a1096a","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"10","57129","DTF - Downtown Flower","DTF Premium Preroll 1g - Gastropop","324s-231229.0001-W52","Gastropop","Forever 46, LLC - 00000057DCHF00477864","12/29/2023","03/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/af7d90a7-6bc3-4ec1-9d7f-55fe74cd756f","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
