"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"1","57334","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","230606-001-BBC","Hybrid","Forever 46, LLC - 00000057DCHF00477864","4/19/2023","7/4/2024","Forever 46, LLC - 00000057DCHF00477864","https://tinyurl.com/yn249mxn","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2","57506","DTF - Downtown Flower","Gary Satan 3.5g","325D-240130.0001-W5","Gary Satan","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","4/4/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/8b0e8c7e-67da-4e92-8c6b-5233386da573","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"3","57505","DTF - Downtown Flower","Wedding Cake 3.5g","WeCa-240130.0001-W5","Wedding Cake","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","4/4/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/8cd5dd15-4c8b-4fca-925d-21c0228e5dc2","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"4","57457","GRÄS Cannabis","Fresh Fritter 3.5g","FrFr-240130.0001-W5","Fresh Fritter","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","4/3/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/b5de48df-525b-481f-8ffd-080183c8e57c","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"5","57459","GRÄS Cannabis","Forest Fire 3.5g","FoFi-240213.0001-W7","Forest Fire","Forever 46, LLC - 00000057DCHF00477864","2/13/2024","4/3/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/6650fcb8-2a69-4b38-b3f1-37efbb1a1f48","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"6","57458","GRÄS Cannabis","Sunset Sherb 3.5g","SSherb-240213.0001-W7","Sunset Sherb","Forever 46, LLC - 00000057DCHF00477864","2/13/2024","4/3/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/ad558b0b-1080-46a3-8ef4-da13161a6458","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"7","57459","GRÄS Cannabis","Forest Fire 3.5g","FoFi-240213.0001-W7","Forest Fire","Forever 46, LLC - 00000057DCHF00477864","2/13/2024","4/3/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/6650fcb8-2a69-4b38-b3f1-37efbb1a1f48","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"8","57458","GRÄS Cannabis","Sunset Sherb 3.5g","SSherb-240213.0001-W7","Sunset Sherb","Forever 46, LLC - 00000057DCHF00477864","2/13/2024","4/3/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/ad558b0b-1080-46a3-8ef4-da13161a6458","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"9","57457","GRÄS Cannabis","Fresh Fritter 3.5g","FrFr-240130.0001-W5","Fresh Fritter","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","4/3/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/b5de48df-525b-481f-8ffd-080183c8e57c","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"10","57348","DTF - Downtown Flower","Mendo Dosi 14g Smalls - Mid","323s-240117.0001-W3","Mendo Dosi","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/29/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/bbab91ad-0272-4238-a234-2c2a8acb66be","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"11","57467","iLAVA","Lava Rocks 3.5g - Gelato","240321-003","Gelato","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/28/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/2d2907ae-99ed-4110-b937-9695f7d5b529","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"12","57467","iLAVA","Lava Rocks 3.5g - Gelato","240321-003","Gelato","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/28/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/2d2907ae-99ed-4110-b937-9695f7d5b529","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"13","57302","DTF - Downtown Flower","Kosher Kush 3.5g","235-240213.0001-W7","Kosher Kush","Forever 46, LLC - 00000057DCHF00477864","2/13/2024","3/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/41bb8a1e-51a7-456f-80a6-0bc3f22876cf","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"14","57296","GRÄS Cannabis","Fresh Fritter 3.5g","FrFr-240117.0001-W3","Fresh Fritter","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/9cb81f6f-b8c6-407e-b64e-c0a123626a50","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"15","57294","GRÄS Cannabis","Sunset Sherb 3.5g","SSherb-240130.0001-W5","Sunset Sherb","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","3/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/75dfb46c-6a63-4a1f-86c7-5015b3fd907e","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"16","57283","GRÄS Cannabis","Forest Fire 3.5g","FoFi-240130.0001-W5","Forest Fire","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","3/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/38229bbb-1a83-4705-8643-c54cb52ed3d0","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"17","57194","DTF - Downtown Flower","Mellow Squirt 14g Smalls - Signature","MSQ-240117.0001-W3","Mellow Squirt","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/ef4e1d03-3dc5-4d6b-8dcb-1c94326a3f9d","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"18","57190","DTF - Downtown Flower","Fatso 14g Smalls - Signature","224-231214.0001-W50","Fatso","Forever 46, LLC - 00000057DCHF00477864","12/14/2023","3/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/a2ca650e-8a02-4a17-86ef-5701ec6eb711","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"19","57206","DTF - Downtown Flower","Cherry Treat 14g Smalls - Mid","ChryTrt-240117.0001-W3","Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/82b653a7-25af-42c3-8d24-70c8ef2bcecc","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"20","57191","DTF - Downtown Flower","Gary Satan 14g Smalls - Mid","325D-240130.0001-W5","Gary Satan","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","3/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/8b0e8c7e-67da-4e92-8c6b-5233386da573","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"21","57176","DTF - Downtown Flower","Gello 14g Smalls - Mid","Gell-240117.0001-W3","Gello","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/b600fe75-7e8f-4e30-9cc5-c8bc4fbc144f","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"22","57173","DTF - Downtown Flower","Jet Cream 14g Smalls - Mid","JtCr-240130.0001-W5","Jet Cream","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/3229cdfd-9b44-4eda-ad77-9adcd0a1096a","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"23","57129","DTF - Downtown Flower","DTF Premium Preroll 1g - Gastropop","324s-231229.0001-W52","Gastropop","Forever 46, LLC - 00000057DCHF00477864","12/29/2023","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/af7d90a7-6bc3-4ec1-9d7f-55fe74cd756f","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"24","57119","DTF - Downtown Flower","DTF Premium Preroll 1g - Fatso","224-231214.0001-W50","Fatso","Forever 46, LLC - 00000057DCHF00477864","12/14/2023","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/a2ca650e-8a02-4a17-86ef-5701ec6eb711","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"25","57118","DTF - Downtown Flower","DTF Premium Preroll 1g - Gastropop","324s-231214.0001-W50","Gastropop","Forever 46, LLC - 00000057DCHF00477864","12/14/2023","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/1bd2b487-9d2b-47b9-920b-ba74d33e5a71","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"26","57174","DTF - Downtown Flower","Wedding Cake 14g Smalls - Mid","WeCa-240130.0001-W5","Wedding Cake","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/8cd5dd15-4c8b-4fca-925d-21c0228e5dc2","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"27","57172","DTF - Downtown Flower","Strawberry Mo'nana 14g Smalls - Mid","SMo-240130.0001-W5","Strawberry Mo'nana","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/13e1ed7e-8135-486c-8845-c1f11af9ef22","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"28","57110","DTF - Downtown Flower","DTF Premium Preroll 1g -  Strawberry Mo'nana","SMo-230918.0001-W38","Strawberry Mo'nana","Forever 46, LLC - 00000057DCHF00477864","9/18/2023","3/22/2024","Forever 46, LLC - 00000057DCHF00477864","https://tinyurl.com/yhwppyfj","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
