"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"1","63530","iLAVA","Magma Budder 1g - Mendo Dosi","241021-007","Mendo Dosi","Forever 46, LLC - 00000057DCHF00477864","9/10/2024","11/07/2025","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/41cc07e5-76fa-45b2-80b3-88480fc9ef5d","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2","64171","iLAVA","ClearGold Cartridge 1000mg - Acapulco Gold","240624-002AG","Acapulco Gold","Forever 46, LLC - 00000057DCHF00477864","05/07/2024","12/02/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/fff9bdf0-d846-417a-874e-96b5c253c651","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"3","64170","iLAVA","ClearGold Cartridge 500mg - Acapulco Gold","240624-002AG","Acapulco Gold","Forever 46, LLC - 00000057DCHF00477864","05/07/2024","12/02/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/fff9bdf0-d846-417a-874e-96b5c253c651","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"4","64145","iLAVA","ClearGold Cartridge 1000mg - Do-Si-Dos","240619-001DD","Do-Si-Dos","Forever 46, LLC - 00000057DCHF00477864","2/10/2024","11/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/bfca8ab1-e3d8-4f68-a7ca-ac723a9e844f","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"5","64144","iLAVA","ClearGold Cartridge 500mg - Do-Si-Dos","240619-001DD","Do-Si-Dos","Forever 46, LLC - 00000057DCHF00477864","2/10/2024","11/27/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/bfca8ab1-e3d8-4f68-a7ca-ac723a9e844f","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"6","64124","DTF - Downtown Flower","Wedding Cake 14g","WeCa-240827.0001-W35","Wedding Cake","Forever 46, LLC - 00000057DCHF00477864","08/27/2024","11/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/dae378fd-d2c9-4d6f-899b-307dc045caef","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"7","64123","iLAVA","ClearGold Cartridge 1000mg - Wedding Cake","240619-001WC","Wedding Cake","Forever 46, LLC - 00000057DCHF00477864","02/10/2024","11/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/642b906a-332c-4b1d-a2c2-64921b3fb853","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"8","64122","iLAVA","ClearGold Cartridge 500mg - Wedding Cake","240619-001WC","Wedding Cake","Forever 46, LLC - 00000057DCHF00477864","02/10/2024","11/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/642b906a-332c-4b1d-a2c2-64921b3fb853","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"9","64105","DTF - Downtown Flower","Blue Dream 3.5g","BLDR-240910.0001-W37","Blue Dream","Forever 46, LLC - 00000057DCHF00477864","09/10/2024","11/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/15631a5e-02c8-4358-a680-abe7da109557","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"10","64096","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","241023-001-PB","Fresh Fritter","Forever 46, LLC - 00000057DCHF00477864","08/27/2024","11/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/d2f55ffe-b68c-485e-96e6-3dbbab3031ea","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"11","64132","iLAVA","ClearGold Cartridge 1000mg - Raspberry Kush","240619-001RK","Raspberry Kush","Forever 46, LLC - 00000057DCHF00477864","02/10/2024","11/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/32de9fe1-e55f-4066-b4d5-8ffaf56048b1","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"12","64131","iLAVA","ClearGold Cartridge 500mg - Raspberry Kush","240619-001RK","Raspberry Kush","Forever 46, LLC - 00000057DCHF00477864","02/10/2024","11/26/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/32de9fe1-e55f-4066-b4d5-8ffaf56048b1","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"13","64042","iLAVA","ClearGold Cartridge 1000mg - Granddaddy Purple","240624-002GP","Granddaddy Purple","Forever 46, LLC - 00000057DCHF00477864","05/07/2024","11/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/0e61c137-27aa-4ee6-9369-6904fd14bb55","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
