"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"1","56849","GRÄS Cannabis","Maui Berry White 3.5g","MBWV10#1","Maui Berry White","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","03/14/2024","1675194CGGG547930343","https://share.confidentcannabis.com/samples/public/share/36328aef-7df0-4cf4-b37f-b224fabebff6","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2","56845","GRÄS Cannabis","Mr. Bill 3.5g","MRB12","Mr. Bill","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","03/14/2024","1675194CGGG547930343","https://share.confidentcannabis.com/samples/public/share/13cef188-b4a4-466d-81e2-3313d2642995","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"3","56844","GRÄS Cannabis","Tiki Head 3.5g","TKH15","Tiki Head","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","03/14/2024","1675194CGGG547930343","https://share.confidentcannabis.com/samples/public/share/f5a7966d-2383-4e51-837f-9a1a8fb7632b","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"4","56761","GRÄS Cannabis","Apple Burger #1 3.5g","231219-001","Apple Burger #1","Forever 46, LLC - 00000057DCHF00477864","11/15/2023","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/6b38e528-1f42-4811-bf69-1da3de823c02","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"5","56748","GRÄS Cannabis","Bubble Gum Pop 3.5g","240124-004","Bubble Gum Pop","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/c4e28820-2cf6-4c6e-a67a-ec184904ba7e","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"6","56759","GRÄS Cannabis","Dosi-Breath 3.5g","240124-005","Dosi-Breath","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/3c7de9bd-e665-48be-a540-23fca61830c9","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"7","56751","GRÄS Cannabis","Dough-Z 3.5g","240124-006","Dough-Z","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/61aecbc5-cd2e-4ae8-8f82-779e40365eb5","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"8","56760","GRÄS Cannabis","Fatso 3.5g","240124-007","Fatso","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/c297586e-6e13-4fa3-9fde-a214287a5025","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"9","56749","GRÄS Cannabis","G.I. Jane 3.5g","240124-008","G.I. Jane","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/278e871c-63ed-49d1-912f-016796fba302","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"10","56755","GRÄS Cannabis","Hula Girl 3.5g","240124-009","Hula Girl","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/aa5fd60a-b291-469c-bb3d-4931fa32033d","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"11","56747","GRÄS Cannabis","Kolache 3.5g","240124-011","Kolache","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/71c2c26b-ba5b-4faf-8308-6f9545fd2d82","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"12","56753","GRÄS Cannabis","Marilyn Monroe 3.5g","240124-012","Marilyn Monroe","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/c06de5e9-eabe-4b64-820f-b451f8f33e67","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"13","56752","GRÄS Cannabis","Modified Strawnana 3.5g","240124-013","Modified Strawnana","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/c5160025-812e-4e53-af06-0e33bd80ce96","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"14","56754","GRÄS Cannabis","Pico De Gallo 3.5g","240124-015","Pico De Gallo","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","03/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/a1ae7425-6ecf-4b3c-b829-928cdf349bfe","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"15","56746","Roaring 20s","Roaring 20s REBALANCE 6 Pack Prerolls 3g - Forest Fire","FoFi-231229.0001-W52","Forest Fire","Forever 46, LLC - 00000057DCHF00477864","12/29/2023","03/13/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/6f59ce13-b82d-441f-879b-f6126555c5fa","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
