"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
GOLD Disposable Cartridge 1000mg - Purple Punch,56870,231121-006PP,Purple Punch,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 2.5g - Fresh Fritter,56874,240130-004,Fresh Fritter,"Forever 46, LLC - 00000057DCHF00477864",1/30/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 1g - Fresh Fritter,56873,240130-004,Fresh Fritter,"Forever 46, LLC - 00000057DCHF00477864",1/30/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Mr. Bill 3.5g,56845,MRB12,Mr. Bill,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,GRÄS Cannabis,11/20/2023,1675194CGGG547930343
Apple Burger #1 3.5g,56761,231219-001,Apple Burger #1,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,11/15/2023,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
ClearGold Cartridge 1000mg - Pineapple Express,56765,231221-004CGPE,Pineapple Express,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 1g - Blue Dream X,56804,240117-004,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,iLAVA,10/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 2.5g - Cali Lightning,56768,240130-006,Cali Lightning,"Forever 46, LLC - 00000057DCHF00477864",1/30/2024,iLAVA,11/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Pineapple Express,56764,231221-004CGPE,Pineapple Express,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 2.5g - Blue Dream X,56805,240117-004,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,iLAVA,10/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Northern Lights,56818,231121-006NL,Northern Lights,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Blue Dream,56767,231121-006BD,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Northern Lights,56817,231121-006NL,Northern Lights,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Blue Dream,56766,231121-006BD,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa,56459,221220-002-HD,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies Pineberry 100mg RSO - Indica,56460,230607-001RSO-PB,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",7/31/2023,ZENZONA,5/2/2023,"Forever 46, LLC - 00000057DCHF00477864"
Hula Girl 3.5g,56755,240124-009,Hula Girl,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Gelato 7g,56584,GLTO-240117.0001-W3,Gelato,"Forever 46, LLC - 00000057DCHF00477864",3/7/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Roaring 20s REBALANCE 6 Pack Prerolls 3g - Forest Fire,56746,FoFi-231229.0001-W52,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,Roaring 20s,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Fatso 3.5g,56760,240124-007,Fatso,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Dosi-Breath 3.5g,56759,240124-005,Dosi-Breath,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Pico De Gallo 3.5g,56754,240124-015,Pico De Gallo,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Dough-Z 3.5g,56751,240124-006,Dough-Z,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Marilyn Monroe 3.5g,56753,240124-012,Marilyn Monroe,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Modified Strawnana 3.5g,56752,240124-013,Modified Strawnana,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
G.I. Jane 3.5g,56749,240124-008,G.I. Jane,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Bubble Gum Pop 3.5g,56748,240124-004,Bubble Gum Pop,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Kolache 3.5g,56747,240124-011,Kolache,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Alien Grapevine Fresh Frozen - BULK,56848,230522-005,Alien Grapevine,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
Floss Sugar Fresh Frozen - BULK,56847,221014-011,Floss Sugar,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
Headband Cookies Fresh Frozen - BULK,56846,56816,Headband Cookies,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,iLAVA,12/27/2023,"Forever 46, LLC - 00000057DCHF00477864"
Delta 8 Clarity Cartridge 1000mg - Sundae Driver,56641,230503-014CLSD,Sundae Driver,"Forever 46, LLC - 00000057DCHF00477864",1/12/2024,iLAVA,10/21/2022,"Forever 46, LLC - 00000057DCHF00477864"
Delta 8 Clarity Cartridge 1000mg - Alien OG,56604,230511-001CLAO,Alien OG,"Forever 46, LLC - 00000057DCHF00477864",1/12/2024,iLAVA,10/23/2022,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Jack Herer,56575,231221-012CGJH,Jack Herer,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,"Forever 46, LLC - 00000057DCHF00477864"
CCELL M3 Battery & Charger - White,56745,56745,N/A,"Forever 46, LLC - 00000057DCHF00477864",3/12/2024,JUPITER,,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 1g - Gelato,56626,231107-007,Gelato,"Forever 46, LLC - 00000057DCHF00477864",11/7/2023,iLAVA,9/5/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 2.5g - Gelato,56624,231107-007,Gelato,"Forever 46, LLC - 00000057DCHF00477864",11/7/2023,iLAVA,9/5/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 2.5g - Blue Dream,56654,240202-001,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
GOLD Disposable Cartridge 1000mg - Acapulco Gold,56525,231121-006AG,Acapulco Gold,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Atomic Cartridge 500mg - Gary Satan,56651,240228-002,Gary Satan,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,iLAVA,10/31/2023,"Forever 46, LLC - 00000057DCHF00477864"
Atomic Cartridge 500mg - Cherry Treat,56645,240228-001,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,iLAVA,11/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Jack Herer,56574,231221-012CGJH,Jack Herer,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,"Forever 46, LLC - 00000057DCHF00477864"
