Package ID,Brand,Product,Batch,Strain,Distribution Chain,Date.of.Harvest,Date.of.Manufacture,Cultivated By,Laboratory.Testing.Results,Point of Intended Sale,Extraction Method
117181,iLAVA,Medica RSO Dablicator 1000mg - T-1000,220802-001,T-1000,"Forever 46, LLC - 00000057DCHF00477864",8/2/2022,11/7/2023,"Forever 46, LLC - 00000057DCHF00477864",https://share.confidentcannabis.com/samples/public/share/4dfc38b3-9411-49a0-bbd0-9c55dcd607f7,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
11111,DTF - Downtown Flower,DTF Premium Preroll 1g - Gelato,GLTO-230918.0001-W38,Gelato,"Forever 46, LLC - 00000057DCHF00477864",9/18/2023,9/27/2023,"Forever 46, LLC - 00000057DCHF00477864",https://tinyurl.com/ms2wnpbw,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
31053,DTF - Downtown Flower,Ganja Blanca 7g - Value,GB-221020.0001,Ganja Blanca,"Forever 46, LLC - 00000057DCHF00477864",10/20/2022,1/4/2023,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/e318821f-78b9-404c-ad42-f8cb355cdcb9,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
31023,DTF - Downtown Flower,Ganja Blanca 14g - Value,GB-221020.0001,Ganja Blanca,"Forever 46, LLC - 00000057DCHF00477864",10/20/2022,1/4/2023,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/e318821f-78b9-404c-ad42-f8cb355cdcb9,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
30846,DTF - Downtown Flower,Gaschata 14g - Value,271-221026.0001,Gaschata,"Forever 46, LLC - 00000057DCHF00477864",10/26/2022,1/2/2023,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/sample/c0b63f57-23fb-4b4c-a967-3c061e569bd8,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
32411,Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Do-Si-Dos,2053319,Do-Si-Dos,"Forever 46, LLC - 00000057DCHF00477864",6/27/2022,1/18/2023,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/YkpFng5L70UjkARsZG5Z4Fgr5ULKYGpsb6xqRBB6RX3022gdIF,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
35081,DTF - Downtown Flower,Larry Lem OG 28g - Value,Larry Lem OG-221227.0001,Larry Lem OG,"Forever 46, LLC - 00000057DCHF00477864",12/27/2022,2/21/2023,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/puekcbrCxi3ehdu3lHDE7KY4UFXkFjuyCDUIvLmuKKygJkvRrc,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
34285,ZENZONA,zenzona Vegan Gummies Brazilian Grape 100mg RSO - Indica (SAMPLE),221227-002-JA,Indica,"Forever 46, LLC - 00000057DCHF00477864",12/27/2022,2/5/2023,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/35DMKjghEPe2mqMulMyhsNA1FhBvoIjT1VuClDl5t2geeAvj80,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
32121,DTF - Downtown Flower,Gello 3.5g - Signature,220505-006,Gello,"Forever 46, LLC - 00000057DCHF00477864",7/28/2022,01/17/2023,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/WVdapEzvtoAUe6nXFnEcSuVdv2419eJ2R95FGZcT6TqxwxGEd4,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
32363,DTF - Downtown Flower,Forest Fire 3.5g - Value,218-221026.0001,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",10/26/2022,1/18/2023,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/50585a43-d312-4f81-a2a8-4df3bd890045,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
