"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
Mr. Bill 3.5g,56845,MRB12,Mr. Bill,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,GRÄS Cannabis,11/20/2023,1675194CGGG547930343
Apple Burger #1 3.5g,56761,231219-001,Apple Burger #1,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,11/15/2023,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Fatso 3.5g,56760,240124-007,Fatso,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Dosi-Breath 3.5g,56759,240124-005,Dosi-Breath,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Hula Girl 3.5g,56755,240124-009,Hula Girl,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Roaring 20s REBALANCE 6 Pack Prerolls 3g - Forest Fire,56746,FoFi-231229.0001-W52,Forest Fire,,,Roaring 20s,12/29/2023,
Pico De Gallo 3.5g,56754,240124-015,Pico De Gallo,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Marilyn Monroe 3.5g,56753,240124-012,Marilyn Monroe,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Modified Strawnana 3.5g,56752,240124-013,Modified Strawnana,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Dough-Z 3.5g,56751,240124-006,Dough-Z,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
G.I. Jane 3.5g,56749,240124-008,G.I. Jane,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Bubble Gum Pop 3.5g,56748,240124-004,Bubble Gum Pop,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Kolache 3.5g,56747,240124-011,Kolache,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,GRÄS Cannabis,1/23/2024,"Forever 46, LLC (TME) - 00000126ESDQ50929013"
Roaring 20s REBALANCE 6 Pack Prerolls 3g - Forest Fire,56746,FoFi-231229.0001-W52,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",3/13/2024,Roaring 20s,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Gelato 7g,56584,GLTO-240117.0001-W3,Gelato,,,DTF - Downtown Flower,1/17/2024,
DTF Premium Preroll 1g - Guava Cross,56731,GuCr-231229.0001-W52,Guava Cross,,,DTF - Downtown Flower,12/29/2023,
Gastropop 3.5g,56700,324s-231229.0001-W52,Gastropop,,,GRÄS Cannabis,12/29/2023,
Sunset Sherb 3.5g,56712,SSherb-231229.0001-W52,Sunset Sherb,,,GRÄS Cannabis,12/29/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Jet Cream,56726,JtCr-231229.0001-W52,Jet Cream,,,Roaring 20s,12/29/2023,
DTF Premium Preroll 1g - Guava Cross,56731,GuCr-231229.0001-W52,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",3/12/2024,DTF - Downtown Flower,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Forest Fire 3.5g,56711,FoFi-231229.0001-W52,Forest Fire,,,GRÄS Cannabis,12/29/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Jet Cream,56726,JtCr-231229.0001-W52,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",3/11/2024,Roaring 20s,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Gelato 3.5g,56581,GLTO-240117.0001-W3,Gelato,,,DTF - Downtown Flower,1/17/2024,
Sunset Sherb 3.5g,56712,SSherb-231229.0001-W52,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",3/11/2024,GRÄS Cannabis,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Forest Fire 3.5g,56711,FoFi-231229.0001-W52,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",3/11/2024,GRÄS Cannabis,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Gastropop 3.5g,56700,324s-231229.0001-W52,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",3/11/2024,GRÄS Cannabis,12/29/2023,"Forever 46, LLC - 00000057DCHF00477864"
Roaring 20s REST 6 Pack Prerolls 3g - Fatso,56468,224-231214.0001-W50,Fatso,,,Roaring 20s,12/14/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Dweebz,56556,Dwz-231229.0001-W52,Dweebz,,,Roaring 20s,12/29/2023,
Gelato 14g,56585,GLTO-240117.0001-W3,Gelato,"Forever 46, LLC - 00000057DCHF00477864",3/7/2024,DTF - Downtown Flower,1/17/2024,
Gelato 7g,56584,GLTO-240117.0001-W3,Gelato,"Forever 46, LLC - 00000057DCHF00477864",3/7/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Gelato 3.5g,56581,GLTO-240117.0001-W3,Gelato,"Forever 46, LLC - 00000057DCHF00477864",3/7/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Roaring 20s REST 6 Pack Prerolls 3g - Dweebz,56556,Dwz-231229.0001-W52,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",3/6/2024,Roaring 20s,12/29/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Sunset Sherb,56514,SSherb-231229.0001-W52,Sunset Sherb,,,Roaring 20s,12/29/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Sunset Sherb,56514,SSherb-231229.0001-W52,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",3/5/2024,Roaring 20s,12/29/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Kosher Kush,56458,235-231130.0001-W48,Kosher Kush,,,Roaring 20s,11/30/2023,
Fatso 3.5g - Signature,56293,224-231214.0001-W50,Fatso,,,DTF - Downtown Flower,12/14/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Fatso,56468,224-231214.0001-W50,Fatso,"Forever 46, LLC - 00000057DCHF00477864",3/5/2024,Roaring 20s,12/14/2023,"Forever 46, LLC - 00000057DCHF00477864"
Jet Cream 3.5g - Signature,56312,JtCr-231229.0001-W52,Jet Cream,,,DTF - Downtown Flower,12/29/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Kosher Kush,56458,235-231130.0001-W48,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",3/4/2024,Roaring 20s,11/30/2023,
DTF Premium Preroll 1g - Dweebz,56430,Dwz-231229.0001-W52,Dweebz,,,DTF - Downtown Flower,12/29/2023,
Dweebz 3.5g - Signature,56345,Dwz-231229.0001-W52,Dweebz,,,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Dweebz,56430,Dwz-231229.0001-W52,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",3/4/2024,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Guava Cross,56383,GuCr-231229.0001-W52,Guava Cross,,,DTF - Downtown Flower,12/29/2023,
Guava Cross 3.5g - Signature,56294,GuCr-231229.0001-W52,Guava Cross,,,DTF - Downtown Flower,12/29/2023,
Cherry Treat 3.5g - Signature,56292,ChryTrt-231130.0001-W48,Cherry Treat,,,DTF - Downtown Flower,11/30/2023,
Gastropop 3.5g - Mid,56181,324s-231229.0001-W52,Gastropop,,,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Guava Cross,56383,GuCr-231229.0001-W52,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",2/29/2024,DTF - Downtown Flower,12/29/2023,
Gastropop 3.5g - Mid,56052,324s-231214.0001-W50,Gastropop,,,DTF - Downtown Flower,12/14/2023,
DTF Premium Preroll 1g - Sunset Sherb,56270,SSherb-231229.0001-W52,Sunset Sherb,,,DTF - Downtown Flower,12/29/2023,
Dweebz 3.5g - Signature,56345,Dwz-231229.0001-W52,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,12/29/2023,
Jet Cream 3.5g - Signature,56312,JtCr-231229.0001-W52,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,12/29/2023,
Guava Cross 3.5g - Signature,56294,GuCr-231229.0001-W52,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,12/29/2023,
Fatso 3.5g - Signature,56293,224-231214.0001-W50,Fatso,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,12/14/2023,
Cherry Treat 3.5g - Signature,56292,ChryTrt-231130.0001-W48,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,DTF - Downtown Flower,11/30/2023,
Sunset Sherb 3.5g - Mid,55992,SSherb-231229.0001-W52,Sunset Sherb,,,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Strawberry Mo'nana,56168,SMo-230918.0001-W38,Strawberry Mo'nana,,,DTF - Downtown Flower,9/18/2023,
DTF Premium Preroll 1g - Jet Cream,56164,JtCr-231229.0001-W52,Jet Cream,,,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Sunset Sherb,56270,SSherb-231229.0001-W52,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",2/27/2024,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Kosher Kush,56144,235-231130.0001-W48,Kosher Kush,,,DTF - Downtown Flower,11/30/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Wedding Cake,56172,WeCa-231229.0001-W52,Wedding Cake,,,Roaring 20s,12/29/2023,
DTF Premium Preroll 1g - Fatso,56152,224-231214.0001-W50,Fatso,,,DTF - Downtown Flower,12/14/2023,
Gastropop 14g - Mid,56054,324s-231229.0001-W52,Gastropop,,,DTF - Downtown Flower,12/29/2023,
Gastropop 7g - Mid,56051,324s-231229.0001-W52,Gastropop,,,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Mellow Squirt,56083,MSQ-231116.0001-W46,Mellow Squirt,"Forever 46, LLC - 00000057DCHF00477864",2/26/2024,DTF - Downtown Flower,11/16/2023,
Gastropop 3.5g - Mid,56181,324s-231229.0001-W52,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/23/2024,DTF - Downtown Flower,12/29/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Wedding Cake,56172,WeCa-231229.0001-W52,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",2/23/2024,Roaring 20s,12/29/2023,
Forest Fire 3.5g - Mid,56053,FoFi-231229.0001-W52,Forest Fire,,,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Strawberry Mo'nana,56168,SMo-230918.0001-W38,Strawberry Mo'nana,"Forever 46, LLC - 00000057DCHF00477864",2/23/2024,DTF - Downtown Flower,9/18/2023,
DTF Premium Preroll 1g - Jet Cream,56164,JtCr-231229.0001-W52,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",2/23/2024,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Fatso,56152,224-231214.0001-W50,Fatso,"Forever 46, LLC - 00000057DCHF00477864",2/22/2024,DTF - Downtown Flower,12/14/2023,
DTF Premium Preroll 1g - Kosher Kush,56144,235-231130.0001-W48,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",2/22/2024,DTF - Downtown Flower,11/30/2023,
Roaring 20s REBALANCE 6 Pack Prerolls 3g - Cherry Treat,56085,ChryTrt-231116.0001-W46,Cherry Treat,,,Roaring 20s,11/16/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Gello,56097,Gell-231130.0001-W48,Gello,,,Roaring 20s,11/30/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Gello,56097,Gell-231130.0001-W48,Gello,"Forever 46, LLC - 00000057DCHF00477864",2/21/2024,Roaring 20s,11/30/2023,
Roaring 20s REBALANCE 6 Pack Prerolls 3g - Cherry Treat,56085,ChryTrt-231116.0001-W46,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",2/21/2024,Roaring 20s,11/16/2023,
DTF Premium Preroll 1g - Mellow Squirt,56083,MSQ-231116.0001-W46,Mellow Squirt,"Forever 46, LLC - 00000057DCHF00477864",2/21/2024,DTF - Downtown Flower,11/16/2023,
Gastropop 14g - Mid,56054,324s-231229.0001-W52,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/20/2024,DTF - Downtown Flower,12/29/2023,
Forest Fire 3.5g - Mid,56053,FoFi-231229.0001-W52,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",2/20/2024,DTF - Downtown Flower,12/29/2023,
Gastropop 3.5g - Mid,56052,324s-231214.0001-W50,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/20/2024,DTF - Downtown Flower,12/14/2023,
Gastropop 7g - Mid,56051,324s-231229.0001-W52,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/20/2024,DTF - Downtown Flower,12/29/2023,
Sunset Sherb 14g - Mid,55911,SSherb-231229.0001-W52,Sunset Sherb,,,DTF - Downtown Flower,12/29/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Kosher Kush,56011,235-231130.0001-W48,Kosher Kush,,,Roaring 20s,11/30/2023,
Sunset Sherb 7g - Mid,55901,SSherb-231229.0001-W52,Sunset Sherb,,,DTF - Downtown Flower,12/29/2023,
Blue Dream 3.5g - Mid,55923,BLDR-231130.0001-W48,Blue Dream,,,DTF - Downtown Flower,11/30/2023,
Roaring 20s REST 6 Pack Prerolls 3g - Kosher Kush,56011,235-231130.0001-W48,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",2/20/2024,Roaring 20s,11/30/2023,
Fresh Fritter 3.5g - Mid,55898,FrFr-231130.0001-W48,Fresh Fritter,,,DTF - Downtown Flower,11/30/2023,
Sunset Sherb 3.5g - Mid,55992,SSherb-231229.0001-W52,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",2/19/2024,DTF - Downtown Flower,12/29/2023,
Kosher Kush 3.5g - Signature,55845,235-231130.0001-W48,Kosher Kush,,,DTF - Downtown Flower,11/30/2023,
Blue Dream 3.5g - Mid,55923,BLDR-231130.0001-W48,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/16/2024,DTF - Downtown Flower,11/30/2023,
Gello 3.5g - Signature,55836,Gell-231130.0001-W48,Gello,,,DTF - Downtown Flower,11/30/2023,
Sunset Sherb 14g - Mid,55911,SSherb-231229.0001-W52,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",2/15/2024,DTF - Downtown Flower,12/29/2023,
DTF Premium Preroll 1g - Strawberry Mo'nana,55841,SMo-230918.0001-W38,Strawberry Mo'nana,,,DTF - Downtown Flower,9/18/2023,
