"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,56967,230811-001-IZ,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",9/25/2023,ZENZONA,6/21/2023,"Forever 46, LLC - 00000057DCHF00477864"
Indica PM Chocolates Dark 100mg,56917,221101-002-IPM,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",2/1/2024,INDICA PM,11/1/2022,"Forever 46, LLC - 00000057DCHF00477864"
Mr. Bill 3.5g,56845,MRB12,Mr. Bill,,,GRÄS Cannabis,11/20/2023,
zenzona Vegan Gummies Wildberry 100mg - Indica,56894,221220-002-ZWLD,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,56893,230811-001-IZ,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",9/25/2023,ZENZONA,6/21/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Crumble 2.5g - Blue Dream,56881,240202-002,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Crumble 1g - Blue Dream,56880,240202-002,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
High Scorez Comboz Infused 4pk Prerolls 2.4g - Fatso x Guava Cross,56879,224-231214.01-W50-4pkIPR,Fatso x Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,High Scorez,12/14/2023,"Forever 46, LLC - 00000057DCHF00477864"
High Scorez Comboz Infused 4pk Prerolls 2.4g - Mellow Squirt x Cherry Treat,56877,MSQ-240117.01-W3-4pkIPR,Mellow Squirt x Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,High Scorez,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
High Scorez Comboz Infused 4pk Prerolls 2.4g - Cherry Treat x Mendo Dosi,56876,ChryTrt-231130.01-W48-4pkIPR,Cherry Treat x Mendo Dosi,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,High Scorez,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
High Scorez Comboz Infused 4pk Prerolls 2.4g - Strawberry Mo'nana x Blue Dream X,56875,SMo-231116.01-W46-4pkIPR,Strawberry Mo'nana x Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,High Scorez,11/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
Guava Cross - Bulk Kief,912294195877,GuCr-240117.0003-W3-Kief,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Fresh Fritter - Bulk Kief,501454195872,FrFr-240117.0003-W3-Kief,Fresh Fritter,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Mendo Dosi - Bulk Kief,676754065884,323s-240117.0003-W3-Kief,Mendo Dosi,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Gello  - Bulk Kief,037193175873,Gell-240117.0003-W3-Kief,Gello,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Gelato - Bulk Kief,399095985788,GLTO-240117.0003-W3-Kief,Gelato,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
