"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","iLAVA","LAVA Rocks 3.5g - Cherry Treat","Cherry Treat","240328-006",57541,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/48a164d3-f7ca-487c-b4f6-c0eaddc2d1a0","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"2","iLAVA","Lava Rocks 3.5g - Sunset Sherb","Sunset Sherb","240328-005",57540,"2024-02-13","https://orders.confidentcannabis.com/report/public/pdf/755ec2dd-cc27-47ba-9a52-61702d38f830","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"3","iLAVA","Lava Rocks 3.5g - Jet Cream","Jet Cream","240328-004",57539,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/8a7fe3ca-a622-478a-bda9-16a90aad6bae","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"4","iLAVA","Lava Rocks 3.5g - Dweebz","Dweebz","240328-001",57538,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/77e28007-14f4-437c-a08e-52b3441609de","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"5","iLAVA","Delta 8 Clarity Cartridge 1000mg - Pineapple Express","Pineapple Express","230503-014CLPE",57531,"2022-10-21","https://orders.confidentcannabis.com/report/public/pdf/1ff0b29f-5156-4719-b318-828dda64bc0a","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-19"
"6","iLAVA","ClearGold Cartridge 1000mg - Banana Kush","Banana Kush","231221-005CGBK",57523,"2022-12-27","https://orders.confidentcannabis.com/report/public/pdf/b60b57c7-8970-42d9-87dc-a7e4ca505f02","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-12-21"
"7","iLAVA","ClearGold Cartridge 500mg - Banana Kush","Banana Kush","231221-005CGBK",57522,"2022-12-27","https://orders.confidentcannabis.com/report/public/pdf/b60b57c7-8970-42d9-87dc-a7e4ca505f02","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-12-21"
"8","DTF - Downtown Flower","Mendo Dosi 3.5g","Mendo Dosi","323s-240117.0001-W3",57520,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/bbab91ad-0272-4238-a234-2c2a8acb66be","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
"9","DTF - Downtown Flower","Gello 7g","Gello","Gell-240117.0001-W3",57518,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/b600fe75-7e8f-4e30-9cc5-c8bc4fbc144f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
"10","DTF - Downtown Flower","Gello 3.5g","Gello","Gell-240117.0001-W3",57517,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/b600fe75-7e8f-4e30-9cc5-c8bc4fbc144f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
"11","DTF - Downtown Flower","Mendo Dosi 7g","Mendo Dosi","323s-240117.0001-W3",57515,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/bbab91ad-0272-4238-a234-2c2a8acb66be","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
"12","iLAVA","Entourage Day Gummies 100mg - Blood Orange","Hybrid Blend","230104-001-BO",57509,"2022-10-03","https://tinyurl.com/47ee5d4x","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-20"
"13","iLAVA","Entourage Twilight Gummies 100mg - Blueberry","Hybrid Blend","230104-001-TB",57508,"2022-10-03","https://tinyurl.com/c5d6w2ef","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-20"
"14","ZENZONA","zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa","Hybrid Blend","221220-002-HON",57507,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"15","DTF - Downtown Flower","Gary Satan 3.5g","Gary Satan","325D-240130.0001-W5",57506,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/8b0e8c7e-67da-4e92-8c6b-5233386da573","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
"16","DTF - Downtown Flower","Wedding Cake 3.5g","Wedding Cake","WeCa-240130.0001-W5",57505,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/8cd5dd15-4c8b-4fca-925d-21c0228e5dc2","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-04"
