"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","ZENZONA","zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa","Hybrid Blend","221220-002-HON",57507,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"2","iLAVA","Lava Rocks 3.5g - Guava Cross","Guava Cross","240328-003",57480,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-21"
"3","iLAVA","Lava Rocks 3.5g - Fresh Fritter","Fresh Fritter","240221-001",57465,"2023-11-30",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"4","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","231107-002",57336,"2023-09-05","https://orders.confidentcannabis.com/report/public/pdf/9fadd3bf-b7db-4396-8588-d5e13bdfca99","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"5","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","231107-002-BLCR",57336,"2023-09-05",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"6","iLAVA","iLAVA Lava Rocks - Sunset Sherb","Sunset Sherb","240328-005",57317,"2024-02-13","https://orders.confidentcannabis.com/report/public/pdf/755ec2dd-cc27-47ba-9a52-61702d38f830","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"7","iLAVA","iLAVA Lava Rocks - Sunset Sherb","Sunset Sherb","240328-005",57315,"2024-02-13","https://orders.confidentcannabis.com/report/public/pdf/755ec2dd-cc27-47ba-9a52-61702d38f830","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"8","iLAVA","iLAVA Lava Rocks - Jet Cream","Jet Cream","240328-004",57314,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/8a7fe3ca-a622-478a-bda9-16a90aad6bae","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"9","iLAVA","iLAVA Lava Rocks - Jet Cream","Jet Cream","240328-004",57312,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/8a7fe3ca-a622-478a-bda9-16a90aad6bae","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"10","iLAVA","iLAVA Lava Rocks - Guava Cross","Guava Cross","240328-003",57311,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"11","iLAVA","iLAVA Lava Rocks - Guava Cross","Guava Cross","240328-003",57310,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"12","iLAVA","iLAVA Lava Rocks - Dweebz","Dweebz","240328-001",57308,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/77e28007-14f4-437c-a08e-52b3441609de","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"13","iLAVA","iLAVA Lava Rocks - Dweebz","Dweebz","240328-001",57307,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/77e28007-14f4-437c-a08e-52b3441609de","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"14","ZENZONA","zenzona Pineapple 100mg Live Rosin - Hybrid","RS #11 X JC","240319-002-PI",57266,"2022-12-29","https://orders.confidentcannabis.com/report/public/pdf/39a73e0f-1d9b-42f8-9420-dee22e45feed","Forever 46, LLC - 00000057DCHF00477864","Greenmed, Inc. - 00000113ESLZ23317951","2024-03-25"
"15","ZENZONA","zenzona Green Apple 100mg Live Rosin - Indica","Fried Ice Cream","240319-003-GA",57265,"2023-02-27","https://orders.confidentcannabis.com/report/public/pdf/900aa0e5-c21c-4282-abe6-457ed6ab94cc","Forever 46, LLC - 00000057DCHF00477864","Greenmed, Inc. - 00000113ESLZ23317951","2024-03-25"
"16","ZENZONA","zenzona Mango Chamoy 100mg Live Rosin - Hybrid","WAP #27","240319-001-MC",57259,"2023-05-02","https://orders.confidentcannabis.com/report/public/pdf/316218a8-7adc-4569-bf94-a1ea2d9f1c0a","Forever 46, LLC - 00000057DCHF00477864","Greenmed, Inc. - 00000113ESLZ23317951","2024-03-25"
"17","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","230607-001RSO-PINE",57170,"2023-05-02","https://orders.confidentcannabis.com/report/public/pdf/cf0c84a3-5467-43ab-9241-cd7804522079","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"18","ZENZONA","zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa","Sativa","230811-001-ITZ",57169,"2023-06-21","https://orders.confidentcannabis.com/report/public/pdf/adebc888-b4c5-4f46-aab4-8bd376fdc35c","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"19","ZENZONA","zenzona Vegan Gummies Brazilian Grape 100mg - Indica","Hybrid Blend","221220-002-BRAG",57168,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/75369865-6123-426d-8600-e7507c2fae82","Forever 46, LLC - 00000057DCHF00477864",NA,NA
