"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Batch.Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","iLAVA","ClearGold Cartridge 1000mg - Blue Dream","Blue Dream","240624-002BD",64197,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"2","iLAVA","ClearGold Cartridge 500mg - Blue Dream","Blue Dream","240624-002BD",64196,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"3","ZENZONA","zenzona Vegan Gummies Raspberry 100mg - Sativa","Hybrid Blend","221220-002-RASP",64187,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/6b783110-62ee-471e-9035-6072f4dfc2c2","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"4","ZENZONA","zenzona Vegan Gummies Strawberry 100mg - Hybrid","Hybrid Blend","221220-0002-SB",64184,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/83dec69d-9152-454f-9978-26ef9bed890f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"5","Roaring 20s","Roaring 20s REST 6 Pack Prerolls 3g - Jet Cream","Jet Cream","JtCr-240716.0001-W29",64183,"2024-07-16","https://orders.confidentcannabis.com/report/public/pdf/4fab4ef5-07ef-4fbc-ab02-a9b3fa25a49d","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"6","iLAVA","ClearGold Cartridge 1000mg - 1:1 (THC:CBD)","Hybrid Blend","240624-0021:1",64182,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/9d8a4d47-99ab-433d-a02e-fc5711b763a9","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"7","iLAVA","ClearGold Cartridge 500mg - 1:1 (THC:CBD)","Hybrid Blend","240624-0021:1",64181,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/9d8a4d47-99ab-433d-a02e-fc5711b763a9","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"8","GRÄS Cannabis","Fresh Fritter 3.5g","Fresh Fritter","FrFr-240827.0001-W35",64172,"2024-08-27","https://orders.confidentcannabis.com/report/public/pdf/1294656d-72c7-44ba-bea7-e039813b0d21","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"9","iLAVA","ClearGold Cartridge 1000mg - Acapulco Gold","Acapulco Gold","240624-002AG",64171,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/fff9bdf0-d846-417a-874e-96b5c253c651","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"10","iLAVA","ClearGold Cartridge 500mg - Acapulco Gold","Acapulco Gold","240624-002AG",64170,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/fff9bdf0-d846-417a-874e-96b5c253c651","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
