"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","iLAVA","ClearGold Cartridge 1000mg - Blue Dream","Blue Dream","240201-007DTFBD",57485,"2023-12-15","https://orders.confidentcannabis.com/report/public/pdf/aea72ba6-8025-4b40-a600-fd4541488d85","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-19"
"2","iLAVA","ClearGold Cartridge 500mg - Blue Dream","Blue Dream","240201-007DTFBD",57484,"2023-12-15","https://orders.confidentcannabis.com/report/public/pdf/aea72ba6-8025-4b40-a600-fd4541488d85","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-19"
"3","iLAVA","iLAVA Feel 10ML (50mg CBD/100mg THC) Roll-On - Hybrid","Hybrid Blend","230727-001",57481,"2021-07-01","https://lims.tagleaf.com/coas/yV05al7RYqhJB7d1vUtRsIpQ627CwrNwZpZG2n7c90JgjyjBrv","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-27"
"4","iLAVA","Lava Rocks 3.5g - Guava Cross","Guava Cross","240328-003",57480,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-21"
"5","iLAVA","iLAVA Touch Bamboo 3.75oz. (380mg THC/320mg CBD) - Hybrid","Hybrid Blend","240110-001B",57470,"2023-07-25","https://orders.confidentcannabis.com/report/public/pdf/5fe61f36-b07f-4ac1-9370-6021d1c45ada","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-01-10"
"6","iLAVA","Molecular Live Resin Disposable 1000mg - Kosher Kush","Kosher Kush","240319-001LR",57469,"2024-03-06","https://orders.confidentcannabis.com/report/public/pdf/286beb98-f602-484d-9da7-9e675a97e2e1","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-19"
"7","ZENZONA","zenzona Vegan Gummies 1:1 (100mg CBD/100mg THC) Cherry - Hybrid","Hybrid Blend","221220-002-CH",57468,"2022-10-03","https://tinyurl.com/2ev99jse","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-26"
"8","iLAVA","Lava Rocks 3.5g - Gelato","Gelato","240321-003",57467,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/2d2907ae-99ed-4110-b937-9695f7d5b529","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"9","iLAVA","Lava Rocks 3.5g - Mendo Dosi","Mendo Dosi","240321-002",57466,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/fd9d2e85-0af9-4e21-b0d7-f0f25c4f468e","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-21"
"10","iLAVA","Lava Rocks 3.5g - Fresh Fritter","Fresh Fritter","240221-001",57465,"2023-11-30",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"11","iLAVA","GOLD Disposable Cartridge 1000mg - Mai Tai","Mai Tai","240102-001DTFMT",57461,"2023-11-22","https://orders.confidentcannabis.com/report/public/pdf/bcb4ca32-149c-4417-8c4f-46e1acad3068","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-22"
"12","iLAVA","ClearGold Cartridge 500mg - Mai Tai","Mai Tai","240102-001DTFMT",57460,"2023-11-22","https://orders.confidentcannabis.com/report/public/pdf/bcb4ca32-149c-4417-8c4f-46e1acad3068","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-22"
"13","GRÄS Cannabis","Forest Fire 3.5g","Forest Fire","FoFi-240213.0001-W7",57459,"2024-02-13","https://orders.confidentcannabis.com/report/public/pdf/6650fcb8-2a69-4b38-b3f1-37efbb1a1f48","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-03"
"14","GRÄS Cannabis","Sunset Sherb 3.5g","Sunset Sherb","SSherb-240213.0001-W7",57458,"2024-02-13","https://orders.confidentcannabis.com/report/public/pdf/ad558b0b-1080-46a3-8ef4-da13161a6458","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-03"
"15","GRÄS Cannabis","Fresh Fritter 3.5g","Fresh Fritter","FrFr-240130.0001-W5",57457,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/b5de48df-525b-481f-8ffd-080183c8e57c","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-04-03"
"16","iLAVA","ClearGold Cartridge 500mg - Mai Tai","Mai Tai","231121-006MT",57263,"2023-07-17","https://orders.confidentcannabis.com/report/public/pdf/e23c2806-c055-478d-a7db-1b572e09eac1","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-06"
