"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Batch.Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","iLAVA","iLAVA Touch 3.75oz. (380mg THC/320mg CBD) - Hybrid","Hybrid Blend","240807-006-3.75",64264,"2024-07-02","https://orders.confidentcannabis.com/report/public/pdf/11ba69e3-2ba5-4324-9915-992a5b22dfe1","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-05"
"2","DTF - Downtown Flower","White Truffle 14g","White Truffle","317s-240827.0001-W35",64263,"2024-08-27","https://orders.confidentcannabis.com/report/public/pdf/adac6f2c-eead-47d4-a7c1-7d1a063f0a3c","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"3","GRÄS Cannabis","GRAS Tasty Vape 1000mg - Blue Widow","Blue Widow","240624-002BW",64248,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"4","GRÄS Cannabis","GRAS Tasty Vape 1000mg - Strainbow","Strainbow","240624-002RB",64246,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"5","iLAVA","Magma Budder 2.5g - Strawberry Mo'nana","Strawberry Mo'nana","241121-003",64245,"2024-08-13","https://orders.confidentcannabis.com/report/public/pdf/63ffb8eb-7e38-4b70-908a-5bc22206f4bd","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"6","iLAVA","Magma Budder 1g - Strawberry Mo'nana","Strawberry Mo'nana","241121-003",64244,"2024-08-13","https://orders.confidentcannabis.com/report/public/pdf/63ffb8eb-7e38-4b70-908a-5bc22206f4bd","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"7","GRÄS Cannabis","GRAS Tasty Vape 1000mg - Golden Pineapple","Golden Pineapple","240624-002GLP",64243,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/522f333b-1062-48e9-b529-2ef4cddb57af","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"8","GRÄS Cannabis","GRAS Tasty Vape 1000mg - 24K Gold Punch","24K Gold Punch","240624-002-24K",64242,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/5b06aee9-812a-4e14-9866-89160c94c06f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"9","GRÄS Cannabis","GRAS Tasty Vape 1000mg - Grape Goji OG","Grape Goji OG","240624-002GGO",64241,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"10","GRÄS Cannabis","GRAS Tasty Vape 1000mg - Lychee Dream","Lychee Dream","240624-002LD",64240,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"11","Roaring 20s","Roaring 20s REST 6 Pack Prerolls 3g - Jet Cream","Jet Cream","JtCr-240716.0001-W29",64183,"2024-07-16","https://orders.confidentcannabis.com/report/public/pdf/4fab4ef5-07ef-4fbc-ab02-a9b3fa25a49d","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"12","DTF - Downtown Flower","Wedding Cake 14g","Wedding Cake","WeCa-240827.0001-W35",64124,"2024-08-27","https://orders.confidentcannabis.com/report/public/pdf/dae378fd-d2c9-4d6f-899b-307dc045caef","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-11-26"
"13","DTF - Downtown Flower","Glitterati 14g - Signature","Glitterati","GLTR-240910.0001-W37",63962,"2024-09-10","https://orders.confidentcannabis.com/report/public/pdf/2148e3e7-b643-4aa2-aa3a-67e48d27f3bc","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-11-20"
"14","DTF - Downtown Flower","Mendo Dosi 14g","Mendo Dosi","323s-240910.0001-W37",63958,"2024-09-10","https://orders.confidentcannabis.com/report/public/pdf/ddc2c4d0-5bea-4951-928b-70e7cc357093","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-11-20"
