"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Batch.Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","WANA","Wana Gummies 2:1 (200mg CBD/100mg THC) Yuzu - Hybrid","Hybrid Blend","YUZ03112024",64217,"2023-09-12",NA,"The Kind Relief Inc DBA: Curaleaf | Queen Creek - MED",NA,NA
"2","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Gary Satan","231107-002-BLCR",64216,"2023-09-05","https://orders.confidentcannabis.com/report/public/pdf/98554efc-9ca1-4424-b246-fe530d85c470","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"3","iLAVA","Magma Budder 2.5g - Golden Tropics","Golden Tropics","241121-004",64215,"2024-09-24",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"4","iLAVA","Magma Budder 1g - Golden Tropics","Golden Tropics","241121-004",64214,"2024-09-24",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"5","iLAVA","ClearGold Cartridge 1000mg - Blue Widow","Blue Widow","240624-002BW",64213,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/f217f2c4-2e3e-487b-a624-6c751cab1105","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"6","iLAVA","ClearGold Cartridge 500mg - Blue Widow","Blue Widow","240624-002BW",64212,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/f217f2c4-2e3e-487b-a624-6c751cab1105","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"7","iLAVA","ClearGold Cartridge 1000mg - Gelato","Gelato","240619-001GL",64201,"2024-02-10","https://orders.confidentcannabis.com/report/public/pdf/39f6e1d3-6adc-4e0e-a154-039f0b266d0b","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"8","iLAVA","ClearGold Cartridge 500mg - Gelato","Gelato","240619-001GL",64200,"2024-02-10","https://orders.confidentcannabis.com/report/public/pdf/39f6e1d3-6adc-4e0e-a154-039f0b266d0b","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"9","iLAVA","Magma Sugar Wax 2.5g - Snozz Berry Haze","Snozz Berry Haze","241121-001",64199,"2024-09-24",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"10","iLAVA","Magma Sugar Wax 1g - Snozz Berry Haze","Snozz Berry Haze","241121-001",64198,"2024-09-24",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"11","iLAVA","ClearGold Cartridge 1000mg - Blue Dream","Blue Dream","240624-002BD",64197,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"12","iLAVA","ClearGold Cartridge 500mg - Blue Dream","Blue Dream","240624-002BD",64196,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"13","ZENZONA","zenzona Vegan Gummies Raspberry 100mg - Sativa","Hybrid Blend","221220-002-RASP",64187,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/6b783110-62ee-471e-9035-6072f4dfc2c2","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"14","ZENZONA","zenzona Vegan Gummies Strawberry 100mg - Hybrid","Hybrid Blend","221220-0002-SB",64184,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/83dec69d-9152-454f-9978-26ef9bed890f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"15","Roaring 20s","Roaring 20s REST 6 Pack Prerolls 3g - Jet Cream","Jet Cream","JtCr-240716.0001-W29",64183,"2024-07-16","https://orders.confidentcannabis.com/report/public/pdf/4fab4ef5-07ef-4fbc-ab02-a9b3fa25a49d","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"16","iLAVA","ClearGold Cartridge 1000mg - 1:1 (THC:CBD)","Hybrid Blend","240624-0021:1",64182,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/9d8a4d47-99ab-433d-a02e-fc5711b763a9","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"17","iLAVA","ClearGold Cartridge 500mg - 1:1 (THC:CBD)","Hybrid Blend","240624-0021:1",64181,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/9d8a4d47-99ab-433d-a02e-fc5711b763a9","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"18","GRÄS Cannabis","Fresh Fritter 3.5g","Fresh Fritter","FrFr-240827.0001-W35",64172,"2024-08-27","https://orders.confidentcannabis.com/report/public/pdf/1294656d-72c7-44ba-bea7-e039813b0d21","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"19","iLAVA","ClearGold Cartridge 1000mg - Acapulco Gold","Acapulco Gold","240624-002AG",64171,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/fff9bdf0-d846-417a-874e-96b5c253c651","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
"20","iLAVA","ClearGold Cartridge 500mg - Acapulco Gold","Acapulco Gold","240624-002AG",64170,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/fff9bdf0-d846-417a-874e-96b5c253c651","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-02"
