"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Batch.Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","GRÄS Cannabis","GRAS Tasty Vape 1000mg - Blue Widow","Blue Widow","240624-002BW",64248,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"2","GRÄS Cannabis","GRAS Tasty Vape 1000mg - Strainbow","Strainbow","240624-002RB",64246,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"3","iLAVA","Magma Budder 2.5g - Strawberry Mo'nana","Strawberry Mo'nana","241121-003",64245,"2024-08-13","https://orders.confidentcannabis.com/report/public/pdf/63ffb8eb-7e38-4b70-908a-5bc22206f4bd","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"4","iLAVA","Magma Budder 1g - Strawberry Mo'nana","Strawberry Mo'nana","241121-003",64244,"2024-08-13","https://orders.confidentcannabis.com/report/public/pdf/63ffb8eb-7e38-4b70-908a-5bc22206f4bd","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"5","GRÄS Cannabis","GRAS Tasty Vape 1000mg - Golden Pineapple","Golden Pineapple","240624-002GLP",64243,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/522f333b-1062-48e9-b529-2ef4cddb57af","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"6","GRÄS Cannabis","GRAS Tasty Vape 1000mg - 24K Gold Punch","24K Gold Punch","240624-002-24K",64242,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/5b06aee9-812a-4e14-9866-89160c94c06f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"7","GRÄS Cannabis","GRAS Tasty Vape 1000mg - Grape Goji OG","Grape Goji OG","240624-002GGO",64241,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"8","GRÄS Cannabis","GRAS Tasty Vape 1000mg - Lychee Dream","Lychee Dream","240624-002LD",64240,"2024-05-07",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-04"
"9","iLAVA","Magma Sugar Wax 2.5g - Hibiscuits","Hibiscuits","241121-002",64219,"2024-09-24","https://orders.confidentcannabis.com/report/public/pdf/8e78c5c0-db5e-4378-a258-cc86e3ec609f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"10","iLAVA","Magma Sugar Wax 1g - Hibiscuits","Hibiscuits","241121-002",64218,"2024-09-24","https://orders.confidentcannabis.com/report/public/pdf/8e78c5c0-db5e-4378-a258-cc86e3ec609f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"11","WANA","Wana Gummies 2:1 (200mg CBD/100mg THC) Yuzu - Hybrid","Hybrid Blend","YUZ03112024",64217,"2023-09-12",NA,"The Kind Relief Inc DBA: Curaleaf | Queen Creek - MED",NA,NA
"12","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Gary Satan","231107-002-BLCR",64216,"2023-09-05","https://orders.confidentcannabis.com/report/public/pdf/98554efc-9ca1-4424-b246-fe530d85c470","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"13","iLAVA","Magma Budder 2.5g - Golden Tropics","Golden Tropics","241121-004",64215,"2024-09-24","https://orders.confidentcannabis.com/report/public/pdf/0d0dc1f1-45cc-4b1e-9072-4449753cb9d1","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"14","iLAVA","Magma Budder 1g - Golden Tropics","Golden Tropics","241121-004",64214,"2024-09-24","https://orders.confidentcannabis.com/report/public/pdf/0d0dc1f1-45cc-4b1e-9072-4449753cb9d1","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"15","iLAVA","ClearGold Cartridge 1000mg - Blue Widow","Blue Widow","240624-002BW",64213,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/f217f2c4-2e3e-487b-a624-6c751cab1105","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
"16","iLAVA","ClearGold Cartridge 500mg - Blue Widow","Blue Widow","240624-002BW",64212,"2024-05-07","https://orders.confidentcannabis.com/report/public/pdf/f217f2c4-2e3e-487b-a624-6c751cab1105","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-12-03"
