"","Package ID","Brand","Product","Batch","Strain","Distribution Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated By","Laboratory.Testing.Results","Point of Intended Sale","Extraction Method"
"1","37649","Copperstate","El Chivo #5 7g - Value","3522ELCH.33.DT","El Chivo #5","Kannaboost Technology, Inc. DBA: Sol Flower Tempe University - MED","12/21/2022","2023-03-22","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2","37642","Copperstate","First Class Funk 7g - Value","3122FCFK.34.DT","First Class Funk","Kannaboost Technology, Inc. DBA: Sol Flower Tempe University - MED","11/18/2022","2023-03-22","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"3","37940","Copperstate","GMO x OZ Kush 7g - Value","2422GMOZ.42","GMO x OZ Kush","Kannaboost Technology, Inc. DBA: Sol Flower Tempe University - MED","9/28/2022","2023-03-23","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"4","37611","Copperstate","Gaschata #5 7g - Value","2422GSC5.41.DT","Gaschata #5","Kannaboost Technology, Inc. DBA: Sol Flower Tempe University - MED","10/7/2022","2023-03-21","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"5","37669","Copperstate","Gastro Pop #4 7g - Value","3122GSP4.34.DT","Gastro Pop #4","Kannaboost Technology, Inc. DBA: Sol Flower Tempe University - MED","11/10/2022","2023-03-22","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"6","37640","Copperstate","Grape Gas 7g - Value","3122GPGS.34.DT","Grape Gas","Kannaboost Technology, Inc. DBA: Sol Flower Tempe University - MED","11/11/2022","2023-03-22","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"7","37690","Copperstate","HFCS 7g - Value","3322HFCS.32.DT","HFCS","Kannaboost Technology, Inc. DBA: Sol Flower Tempe University - MED","11/30/2022","2023-03-22","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"8","37689","Copperstate","Melonade #8 7g - Value","3322MLN8.32.DT","Melonade #8","Kannaboost Technology, Inc. DBA: Sol Flower Tempe University - MED","12/2/2022","2023-03-22","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"9","34102","DTF - Downtown Flower","A La Oreoz 14g - Mid","ALO-221222.0001","A La Oreoz","Forever 46, LLC - 00000057DCHF00477864","12/22/2022","2023-02-08","Forever 46, LLC - 00000057DCHF00477864","https://lims.tagleaf.com/coas/urxB9dol42Fjjy9NSbAhPlPd9H9dj3vEe2ji6pHAzjvfYJF5i9","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"10","33362","DTF - Downtown Flower","A La Oreoz 14g - Value","ALO-221109.0001","A La Oreoz","Forever 46, LLC - 00000057DCHF00477864","11/9/2022","2023-01-30","Forever 46, LLC - 00000057DCHF00477864","https://lims.tagleaf.com/coas/7GiuqCzrAjJHdinPtWCo6sqB41mQXwIIsBNYNolqKKl3Tuwc4Q","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
