"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"1",57353,"iLAVA","Lumen Budder 1g - Gelato","240216-001","Gelato","Forever 46, LLC - 00000057DCHF00477864","12/14/2023",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/5785a279-3abc-4850-a070-56e675afe617","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"2",57350,"High Scorez","High Scorez Sauce Infused Preroll 1.2g - Mellow Squirt x Mendo Dosi","MSQ-240117.01-W3-IPR","Mellow Squirt x Mendo Dosi","Forever 46, LLC - 00000057DCHF00477864","01/17/2024","03/29/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"3",57349,"High Scorez","High Scorez Sauce Infused Preroll 1.2g - Dweebz x Toasted Swirl","Dwz-240117.01-W3-IPR","Dweebz x Toasted Swirl","Forever 46, LLC - 00000057DCHF00477864","01/17/2024","03/29/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"4",57347,"High Scorez","High Scorez Sauce Infused Preroll 1.2g - Cherry Treat x Forest Fire","ChryTrt-231130.01-W48-IPR","Cherry Treat x Forest Fire","Forever 46, LLC - 00000057DCHF00477864","11/30/2023","03/29/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"5",57336,"ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","231107-002","Hybrid","Forever 46, LLC - 00000057DCHF00477864","09/05/2023",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/9fadd3bf-b7db-4396-8588-d5e13bdfca99","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"6",57320,"iLAVA","Molecular Live Resin Disposable 1000mg - Fatso","231121-005LR","Fatso","Forever 46, LLC - 00000057DCHF00477864","11/07/2023",NA,"Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/46328fb7-0d5f-45e9-8c3d-3794172a56a9","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"7",57317,"iLAVA","iLAVA Lava Rocks - Sunset Sherb","240328-005","Sunset Sherb","Forever 46, LLC - 00000057DCHF00477864","02/13/2024",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"8",57315,"iLAVA","iLAVA Lava Rocks - Sunset Sherb","240328-005","Sunset Sherb","Forever 46, LLC - 00000057DCHF00477864","02/13/2024","03/28/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"9",57314,"iLAVA","iLAVA Lava Rocks - Jet Cream","240328-004","Jet Cream","Forever 46, LLC - 00000057DCHF00477864","01/17/2024",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"10",57312,"iLAVA","iLAVA Lava Rocks - Jet Cream","240328-004","Jet Cream","Forever 46, LLC - 00000057DCHF00477864","01/17/2024","03/28/2024","Forever 46, LLC - 00000057DCHF00477864",NA,"https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
