"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","iLAVA","Molecular Live Resin Disposable 1000mg - Forest Fire","Forest Fire","240102-005LR",57365,"2023-11-30","https://orders.confidentcannabis.com/report/public/pdf/d44f4df4-fe74-4bca-878e-e0eb10c7e5af","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-01-02"
"2","iLAVA","Magma Sugar Wax 2.5g - Forest Fire","Forest Fire","240229-003",57362,"2023-12-29","https://orders.confidentcannabis.com/report/public/pdf/e6b9a73f-6e07-4ae9-94f7-0591e4842696","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-29"
"3","iLAVA","Magma Sugar Wax 1g - Forest Fire","Forest Fire","240229-003",57361,"2023-12-29","https://orders.confidentcannabis.com/report/public/pdf/e6b9a73f-6e07-4ae9-94f7-0591e4842696","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-29"
"4","iLAVA","Lumen Budder 1g - Gelato","Gelato","240216-001",57353,"2023-12-14","https://orders.confidentcannabis.com/report/public/pdf/5785a279-3abc-4850-a070-56e675afe617","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"5","High Scorez","High Scorez Sauce Infused Preroll 1.2g - Mellow Squirt x Mendo Dosi","Mellow Squirt x Mendo Dosi","MSQ-240117.01-W3-IPR",57350,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-29"
"6","High Scorez","High Scorez Sauce Infused Preroll 1.2g - Dweebz x Toasted Swirl","Dweebz x Toasted Swirl","Dwz-240117.01-W3-IPR",57349,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-29"
"7","DTF - Downtown Flower","Mendo Dosi 14g Smalls - Mid","Mendo Dosi","323s-240117.0001-W3",57348,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/bbab91ad-0272-4238-a234-2c2a8acb66be","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-29"
"8","High Scorez","High Scorez Sauce Infused Preroll 1.2g - Cherry Treat x Forest Fire","Cherry Treat x Forest Fire","ChryTrt-231130.01-W48-IPR",57347,"2023-11-30",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-29"
"9","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","231107-002",57336,"2023-09-05","https://orders.confidentcannabis.com/report/public/pdf/9fadd3bf-b7db-4396-8588-d5e13bdfca99","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"10","iLAVA","Molecular Live Resin Disposable 1000mg - Wedding Cake","Wedding Cake","240207-003LR",57335,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/2f60a042-af94-422f-9437-12a72b5c0d6c","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-07"
"11","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","230606-001-BBC",57334,"2023-04-19","https://tinyurl.com/yn249mxn","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-07-04"
"12","iLAVA","iLAVA Touch Bamboo 3.75oz. (380mg THC/320mg CBD) - Hybrid","Hybrid Blend","240110-001B",57325,"2023-07-25","https://orders.confidentcannabis.com/report/public/pdf/5fe61f36-b07f-4ac1-9370-6021d1c45ada","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-01-10"
"13","iLAVA","Molecular Live Resin Disposable 1000mg - Fatso","Fatso","231121-005LR",57320,"2023-11-07","https://orders.confidentcannabis.com/report/public/pdf/46328fb7-0d5f-45e9-8c3d-3794172a56a9","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"14","iLAVA","iLAVA Lava Rocks - Sunset Sherb","Sunset Sherb","240328-005",57317,"2024-02-13",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"15","iLAVA","iLAVA Lava Rocks - Sunset Sherb","Sunset Sherb","240328-005",57315,"2024-02-13",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"16","iLAVA","iLAVA Lava Rocks - Jet Cream","Jet Cream","240328-004",57314,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"17","iLAVA","iLAVA Lava Rocks - Jet Cream","Jet Cream","240328-004",57312,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"18","iLAVA","iLAVA Lava Rocks - Guava Cross","Guava Cross","240328-003",57311,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"19","iLAVA","iLAVA Lava Rocks - Guava Cross","Guava Cross","240328-003",57310,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"20","iLAVA","iLAVA Lava Rocks - Dweebz","Dweebz","240328-001",57308,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"21","iLAVA","iLAVA Lava Rocks - Dweebz","Dweebz","240328-001",57307,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"22","iLAVA","Molecular Live Resin Disposable 1000mg - DTS","DTS","231011-016LR",57304,"2023-10-03","https://orders.confidentcannabis.com/report/public/pdf/b82d735b-90d4-49ac-9b06-197cbba6b8f2","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-10-11"
"23","DTF - Downtown Flower","Kosher Kush 3.5g","Kosher Kush","235-240213.0001-W7",57302,"2024-02-13","https://orders.confidentcannabis.com/report/public/pdf/41bb8a1e-51a7-456f-80a6-0bc3f22876cf","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-27"
"24","iLAVA","Molecular Live Resin Disposable 1000mg - Gelato","Gelato","231130-001LR",57299,"2023-11-10","https://orders.confidentcannabis.com/report/public/pdf/c8d1ca46-5b82-4867-9cfa-bcf7e01ad499","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"25","iLAVA","Molecular Live Resin Disposable 1000mg - Cali Lightning","Cali Lightning","240102-006LR",57297,"2023-12-01","https://orders.confidentcannabis.com/report/public/pdf/71b72255-8556-40ea-b051-bd877c5fb91a","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-01-02"
"26","GRÄS Cannabis","Fresh Fritter 3.5g","Fresh Fritter","FrFr-240117.0001-W3",57296,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/9cb81f6f-b8c6-407e-b64e-c0a123626a50","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-27"
"27","GRÄS Cannabis","Sunset Sherb 3.5g","Sunset Sherb","SSherb-240130.0001-W5",57294,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/75dfb46c-6a63-4a1f-86c7-5015b3fd907e","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-27"
"28","iLAVA","GOLD Disposable Cartridge 1000mg - Green Dream","Green Dream","240102-001DTFGD",57284,"2023-11-22","https://orders.confidentcannabis.com/report/public/pdf/3c15d553-e462-46ce-a54c-7ff132563cce","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"29","GRÄS Cannabis","Forest Fire 3.5g","Forest Fire","FoFi-240130.0001-W5",57283,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/38229bbb-1a83-4705-8643-c54cb52ed3d0","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-27"
"30","ZENZONA","zenzona Vegan Gummies 2:1 (100mg THC/50mg CBD) Blueberry - Indica","Hybrid Blend","221220-002-BB",57282,"2022-10-03","https://lims.tagleaf.com/coas/xOCKGjv6XZcJZ6vCa2tIcpHqK49JRroABGhg4O6XojZnw6FZau","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-26"
"31","iLAVA","GOLD Disposable Cartridge 1000mg - Bubba Kush","Bubba Kush","240102-001DTFBK",57276,"2023-11-22","https://orders.confidentcannabis.com/report/public/pdf/6bebeae5-3f3c-4928-9e03-ce5332eff8dd","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"32","iLAVA","ClearGold Cartridge 500mg - Bubba Kush","Bubba Kush","240102-001DTFBK",57275,"2023-11-22","https://orders.confidentcannabis.com/report/public/pdf/6bebeae5-3f3c-4928-9e03-ce5332eff8dd","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"33","ZENZONA","zenzona Pineapple 100mg Live Rosin - Hybrid","RS #11 X JC","240319-002-PI",57266,"2022-12-29",NA,"Forever 46, LLC - 00000057DCHF00477864","Greenmed, Inc. - 00000113ESLZ23317951","2024-03-25"
"34","ZENZONA","zenzona Green Apple 100mg Live Rosin - Indica","Fried Ice Cream","240319-003-GA",57265,"2023-02-27",NA,"Forever 46, LLC - 00000057DCHF00477864","Greenmed, Inc. - 00000113ESLZ23317951","2024-03-25"
"35","iLAVA","GOLD Disposable Cartridge 1000mg - Mai Tai","Mai Tai","231121-006MT",57264,"2023-07-17","https://orders.confidentcannabis.com/report/public/pdf/e23c2806-c055-478d-a7db-1b572e09eac1","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-06"
"36","iLAVA","ClearGold Cartridge 500mg - Mai Tai","Mai Tai","231121-006MT",57263,"2023-07-17","https://orders.confidentcannabis.com/report/public/pdf/e23c2806-c055-478d-a7db-1b572e09eac1","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-06"
"37","ZENZONA","zenzona Mango Chamoy 100mg Live Rosin - Hybrid","WAP #27","240319-001-MC",57259,"2023-05-02",NA,"Forever 46, LLC - 00000057DCHF00477864","Greenmed, Inc. - 00000113ESLZ23317951","2024-03-25"
"38","iLAVA","Entourage Twilight Gummies 100mg - Blackberry","Hybrid Blend","230104-001-BLA",57230,"2022-10-03","https://lims.tagleaf.com/coas/KjacAIHOkDLI3XAHjagmx0ObDzNfe4AG4el5iaz7DnwWx3nSXr","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-20"
"39","DTF - Downtown Flower","Cherry Treat 14g Smalls - Mid","Cherry Treat","ChryTrt-240117.0001-W3",57206,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/82b653a7-25af-42c3-8d24-70c8ef2bcecc","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"40","DTF - Downtown Flower","Mellow Squirt 14g Smalls - Signature","Mellow Squirt","MSQ-240117.0001-W3",57194,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/ef4e1d03-3dc5-4d6b-8dcb-1c94326a3f9d","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-26"
"41","DTF - Downtown Flower","Gary Satan 14g Smalls - Mid","Gary Satan","325D-240130.0001-W5",57191,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/8b0e8c7e-67da-4e92-8c6b-5233386da573","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"42","DTF - Downtown Flower","Fatso 14g Smalls - Signature","Fatso","224-231214.0001-W50",57190,"2023-12-14","https://orders.confidentcannabis.com/report/public/pdf/a2ca650e-8a02-4a17-86ef-5701ec6eb711","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-26"
"43","DTF - Downtown Flower","Gello 14g Smalls - Mid","Gello","Gell-240117.0001-W3",57176,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/b600fe75-7e8f-4e30-9cc5-c8bc4fbc144f","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"44","DTF - Downtown Flower","Wedding Cake 14g Smalls - Mid","Wedding Cake","WeCa-240130.0001-W5",57174,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/8cd5dd15-4c8b-4fca-925d-21c0228e5dc2","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"45","DTF - Downtown Flower","Jet Cream 14g Smalls - Mid","Jet Cream","JtCr-240130.0001-W5",57173,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/3229cdfd-9b44-4eda-ad77-9adcd0a1096a","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-25"
"46","DTF - Downtown Flower","Strawberry Mo'nana 14g Smalls - Mid","Strawberry Mo'nana","SMo-240130.0001-W5",57172,"2024-01-30","https://orders.confidentcannabis.com/report/public/pdf/13e1ed7e-8135-486c-8845-c1f11af9ef22","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"47","iLAVA","Magma Budder 2.5g - Gelato","Gelato","231011-009",57171,"2023-08-16","https://orders.confidentcannabis.com/report/public/pdf/5565332a-2da5-438b-a19a-d49b01343432","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-10-11"
"48","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","230607-001RSO-PINE",57170,"2023-05-02",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"49","ZENZONA","zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa","Sativa","230811-001-ITZ",57169,"2023-06-21",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"50","ZENZONA","zenzona Vegan Gummies Brazilian Grape 100mg - Indica","Hybrid Blend","221220-002-BRAG",57168,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"51","iLAVA","Magma Budder 1g - Gelato","Gelato","231011-009",57167,"2023-08-16","https://orders.confidentcannabis.com/report/public/pdf/5565332a-2da5-438b-a19a-d49b01343432","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-10-11"
"52","ZENZONA","zenzona Vegan Gummies 2:1 (100mg THC/50mg CBD) Blueberry - Indica","Hybrid Blend","221220-002-BLB",57166,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"53","ZENZONA","zenzona Vegan Gummies Wildberry 100mg - Indica","Hybrid Blend","221220-002-ZWIL",57165,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"54","iLAVA","iLAVA Touch Bamboo 3.75oz. (380mg THC/320mg CBD) - Hybrid","Hybrid Blend","240110-001B",57164,"2023-07-25","https://orders.confidentcannabis.com/report/public/pdf/5fe61f36-b07f-4ac1-9370-6021d1c45ada","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"55","ZENZONA","zenzona Vegan Gummies Watermelon 100mg - Indica","Hybrid Blend","221220-002-ZWAT",57163,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"56","ZENZONA","zenzona Vegan Gummies 1:1 (100mg CBD/100mg THC) Cherry - Hybrid","Hybrid Blend","221220-002-CHE",57162,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"57","ZENZONA","zenzona Vegan Gummies Strawberry 100mg - Hybrid","Hybrid Blend","221220-0002-SB",57161,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"58","ZENZONA","zenzona Vegan Gummies 1:1 (100mgCBD/100mg THC) Sour Citrus - Hybrid","Hybrid Blend","221220-002-SOUR",57160,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"59","iLAVA","ClearGold Cartridge 1000mg - GG4","GG4","231121-006G4",57159,"2023-07-17","https://orders.confidentcannabis.com/report/public/pdf/749f84a8-183f-4f6d-8d16-47a836332fe5","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-06"
"60","ZENZONA","zenzona Vegan Gummies Prickly Pear 100mg - Hybrid","Hybrid Blend","221220-0002-PRC",57158,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"61","iLAVA","ClearGold Cartridge 500mg - GG4","GG4","231121-006G4",57157,"2023-07-17","https://orders.confidentcannabis.com/report/public/pdf/749f84a8-183f-4f6d-8d16-47a836332fe5","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-06"
"62","ZENZONA","zenzona Vegan Gummies Blackberry Cucumber 100mg - Hybrid","Hybrid Blend","221220-002-BC",57156,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"63","ZENZONA","zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa","Hybrid Blend","221220-002-HON",57155,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"64","ZENZONA","zenzona Vegan Gummies Raspberry 100mg - Sativa","Hybrid Blend","221220-002-RASP",57154,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"65","ZENZONA","zenzona Vegan Gummies Blood Orange 100mg - Sativa","Hybrid Blend","221220-002-ZBOR",57153,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"66","ZENZONA","zenzona Vegan Gummies Grapefruit 100mg - Sativa","Hybrid Blend","221220-002-GF",57152,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"67","iLAVA","Magma Crumble 2.5g - Fresh Fritter","Fresh Fritter","240130-005",57151,"2023-11-30","https://orders.confidentcannabis.com/report/public/pdf/de1baf59-428f-48b1-94e1-ab7d826da5ad","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-01-30"
"68","iLAVA","Magma Crumble 1g - Fresh Fritter","Fresh Fritter","240130-005",57150,"2023-11-30","https://orders.confidentcannabis.com/report/public/pdf/de1baf59-428f-48b1-94e1-ab7d826da5ad","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-01-30"
"69","DTF - Downtown Flower","DTF Premium Preroll 1g - Gastropop","Gastropop","324s-231229.0001-W52",57129,"2023-12-29","https://orders.confidentcannabis.com/report/public/pdf/af7d90a7-6bc3-4ec1-9d7f-55fe74cd756f","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-25"
"70","iLAVA","GOLD Disposable Cartridge 1000mg - Acapulco Gold","Acapulco Gold","231121-006AG",57128,"2023-07-17","https://orders.confidentcannabis.com/report/public/pdf/99621efa-36a1-4389-b225-59a2d0b938d2","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"71","iLAVA","ClearGold Cartridge 500mg - Acapulco Gold","Acapulco Gold","231121-006AG",57127,"2023-07-17","https://orders.confidentcannabis.com/report/public/pdf/99621efa-36a1-4389-b225-59a2d0b938d2","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-06"
"72","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","230607-001RSO-PB",57123,"2023-05-02","https://lims.tagleaf.com/coas/FFokcNVI2iVLNcQK9f1RBGVDkCGk6UZ0uXb8WqdsZDIv9ZTkH5","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-31"
"73","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","240228-003-PB",57122,"2023-12-29",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-25"
"74","INDICA PM","Indica PM Chocolates Dark 100mg","Indica Blend","221101-002-IPM",57120,"2022-11-01","https://orders.confidentcannabis.com/report/public/pdf/312e54ed-6d0d-44b9-bb83-276ef1bef5d7","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-01"
"75","DTF - Downtown Flower","DTF Premium Preroll 1g - Fatso","Fatso","224-231214.0001-W50",57119,"2023-12-14","https://orders.confidentcannabis.com/report/public/pdf/a2ca650e-8a02-4a17-86ef-5701ec6eb711","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"76","DTF - Downtown Flower","DTF Premium Preroll 1g - Gastropop","Gastropop","324s-231214.0001-W50",57118,"2023-12-14","https://orders.confidentcannabis.com/report/public/pdf/1bd2b487-9d2b-47b9-920b-ba74d33e5a71","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"77","DTF - Downtown Flower","DTF Premium Preroll 1g -  Strawberry Mo'nana","Strawberry Mo'nana","SMo-230918.0001-W38",57110,"2023-09-18","https://tinyurl.com/yhwppyfj","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-22"
"78","iLAVA","iLAVA Touch 2.85oz. (250mg CBD/300mg THC) - Hybrid","Hybrid Blend","240110-001",57080,"2023-07-25",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-01-10"
"79","GRÄS Cannabis","GG4 3.5g","GG4","GG4 GH6 Bay 1 12.29.23",57079,"2023-12-29","https://orders.confidentcannabis.com/report/public/pdf/827b3ae8-9cd9-498a-83e3-37830761ae96","Forever 46, LLC - 00000057DCHF00477864","CJK, Inc. - 00000003DCOU00038157","2024-03-21"
