Products Brand Name,Inventory Conversion Inputs Outputs Output Product,Strain Name,Inventory Conversions Batch Name,Inventory Conversion Inputs Outputs Output Package ID,Batch Harvest Date,Batch Lab Results Lab Result URL,Products Vendor Name,Inventory Producer Name,Manufacturing Date
GRÄS Cannabis,Hula Girl 3.5g,Hula Girl,240124-009,56755,2024-01-23,https://orders.confidentcannabis.com/report/public/pdf/aa5fd60a-b291-469c-bb3d-4931fa32033d,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",2024-03-13
GRÄS Cannabis,Dosi-Breath 3.5g,Dosi-Breath,240124-005,56759,2024-01-23,https://orders.confidentcannabis.com/report/public/pdf/3c7de9bd-e665-48be-a540-23fca61830c9,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013",2024-03-13
DTF - Downtown Flower,White Truffle 3.5g,White Truffle,317s-240117.0001-W3,57010,2024-01-17,,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2024-03-20
GRÄS Cannabis,Fresh Fritter 3.5g,Fresh Fritter,FrFr-240117.0001-W3,57029,2024-01-17,https://orders.confidentcannabis.com/report/public/pdf/9cb81f6f-b8c6-407e-b64e-c0a123626a50,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2024-03-20
GRÄS Cannabis,Tangerine Kush 3.5g,Tangerine Kush,Tangerine Kush GH6 Bay 2 01.05.24,57066,2024-01-05,,"Forever 46, LLC - 00000057DCHF00477864","CJK, Inc. - 00000003DCOU00038157",2024-03-20
GRÄS Cannabis,Blue Dream 3.5g,Blue Dream,Blue Dream GH6 Bay 1 12.29.23,57068,2023-12-29,,"Forever 46, LLC - 00000057DCHF00477864","CJK, Inc. - 00000003DCOU00038157",2024-03-20
GRÄS Cannabis,GG4 3.5g,GG4,GG4 GH6 Bay 1 12.29.23,57079,2023-12-29,,"Forever 46, LLC - 00000057DCHF00477864","CJK, Inc. - 00000003DCOU00038157",2024-03-21
GRÄS Cannabis,Maui Berry White 3.5g,Maui Berry White,MBWV10#1,56849,2023-11-20,https://share.confidentcannabis.com/samples/public/share/36328aef-7df0-4cf4-b37f-b224fabebff6,"Forever 46, LLC - 00000057DCHF00477864",1675194CGGG547930343,2024-03-14
GRÄS Cannabis,Tiki Head 3.5g,Tiki Head,TKH15,56844,2023-11-20,https://share.confidentcannabis.com/samples/public/share/f5a7966d-2383-4e51-837f-9a1a8fb7632b,"Forever 46, LLC - 00000057DCHF00477864",1675194CGGG547930343,2024-03-14
DTF - Downtown Flower,DTF Premium Preroll 1g -  Strawberry Mo'nana,Strawberry Mo'nana,SMo-230918.0001-W38,57110,2023-09-18,https://tinyurl.com/yhwppyfj,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2024-03-22
iLAVA,iLAVA Touch 2.85oz. (250mg CBD/300mg THC) - Hybrid,Hybrid Blend,240110-001,57080,2023-07-25,,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2024-01-10
High Scorez,High Scorez Sauce Infused Preroll 1.2g - Fatso x Jokerz Treat,Fatso x Jokerz Treat,224-230717.01-W29-IPR,49324,2023-07-17,https://lims.tagleaf.com/coas/2N8CTBx1JBbH4c5QVsePTOoyNtXwaC4CIgqN8prFojg2W6RFBW,"Forever 46, LLC - 00000057DCHF00477864",,2023-09-22
High Scorez,High Scorez Sauce Infused Preroll 1.2g - Fatso x Jokerz Treat,Fatso x Jokerz Treat,224-230717.01-W29-IPR,49324,2023-07-17,https://lims.tagleaf.com/coas/2N8CTBx1JBbH4c5QVsePTOoyNtXwaC4CIgqN8prFojg2W6RFBW,"Forever 46, LLC - 00000057DCHF00477864",,2023-09-22
High Scorez,High Scorez Sauce Infused Preroll 1.2g - Fatso x Jokerz Treat,Fatso x Jokerz Treat,224-230717.01-W29-IPR,49324,2023-07-17,https://lims.tagleaf.com/coas/2N8CTBx1JBbH4c5QVsePTOoyNtXwaC4CIgqN8prFojg2W6RFBW,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2023-09-22
ZENZONA,zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,Sativa,230811-001-IZ,56967,2023-06-21,https://tinyurl.com/5n6w5ewf,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2023-09-25
INDICA PM,Indica PM Chocolates Dark 100mg,Indica Blend,221101-002-IPM,56917,2022-11-01,https://orders.confidentcannabis.com/report/public/pdf/312e54ed-6d0d-44b9-bb83-276ef1bef5d7,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2024-02-01
ZENZONA,zenzona Vegan Gummies Prickly Pear 100mg - Hybrid,Hybrid Blend,221220-002-PRP,57011,2022-10-03,https://lims.tagleaf.com/coas/NKpygdUaKLZWydKEmF6HAczZ04oyYoLaj1GvXnyRYisv383C6X,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864",2023-07-26
